 ,地區,平台,房型,早餐,廚房,停車,Link,地址,Map Link
10/11-10/13,雷克雅維克 Reykjavik,AirBnb,整棟,x,v,路邊,AirBnB Link,"Bergþórugata 35 2, 雷克雅維克, Reykjavíkurborg 101, 冰島",https://maps.app.goo.gl/zGtwcjfEUzn76h9S8
10/12-10/13,雷克雅維克 Reykjavik,AirBnb,整棟,x,v,路邊,AirBnB Link,"Bergþórugata 35 2, 雷克雅維克, Reykjavíkurborg 101, 冰島",https://maps.app.goo.gl/zGtwcjfEUzn76h9S8
10/13-10/14,Vik,Booking,雙人房*1 + 6床房,x,共用廚房,v,The Barn,"Norðurfoss, 871 維克, 冰島",https://maps.app.goo.gl/GiVajEPkb1DoUQFG7
10/14-10/15,Hali,Booking,雙人房*2 + 獨棟雙人房*2,v,其中一間有,v,哈利鄉村酒店,"Hali 2, 781 Jökulsárlón, 冰島",https://maps.app.goo.gl/P26FPQSv5o6DLKVFA
10/15-10/16,赫本 Hofn,Booking,整棟,x,v,v,"The Greyhouse ""Big Apartment""","Seljavellir, 781 霍芬, 冰島",https://maps.app.goo.gl/6eaKZhXkfskmX3hj9
10/16-10/17,胡薩維克,AirBnb,整棟,x,v,v,AirBnB Link,"Helluland 641, 641冰島",https://maps.app.goo.gl/Jz4Un38SdRKWDjkq8
10/17-10/18,阿克雷里 Akureyri,Booking,四人房+雙人房*2,x,v,v,E18 Apartments,"18 Eiðsvallagata, 600 阿克雷里, 冰島",https://maps.app.goo.gl/H7Vo2usTx7NjdGvM7
10/18-10/19,布扎達呂爾 Búðardalur,Booking,四人房+雙人房*2,x,v,v,城堡民宿,"Brekkuhvammur 1, 370 布札達呂爾, 冰島",https://maps.app.goo.gl/aa8HjXru6pbMJayA8
10/19-10/20,阿爾納斯塔皮 Arnarstapi,Booking,整棟,x,v,v,Grund,"Grund, 311 Rauðamelur, 冰島",https://maps.app.goo.gl/XXK1bGmvcAvS782w8
10/20-10/21,雷克雅維克 Reykjavik,Booking,雙人房*4,x,x,,奧丁斯維酒店,"Thorsgata 1, 101 雷克雅維克, 冰島",https://maps.app.goo.gl/tdSRB1K34M7VELtw5
