第零天：10 月 10 日（五） - 台灣出發,,,,,,
時間,行程,建議交通時間,建議停留時間,備註與建議,guideKey,
10:00 - 12:00,前往 桃園國際機場 (TPE),,,,,
14:10 - 16:00,TPE - HKG：BR 855,,,,,
20:55 - 5:35(+1),HKG - HEL：AY 100,,,,,
7:20(+1) - 8:00(+1),HEL - KEF：AY 99,,,,,
,,,,,,
第一天：10 月 11 日（六） - 抵達冰島，溫泉與市區補給,,,,,,
時間,行程,建議交通時間,建議停留時間,備註與建議,guideKey,
08:00,抵達 凱夫拉維克國際機場 (KEF),,,抵達後領取行李，準備展開冰島之旅。,,
08:30-09:30,前往 Blue Car Rental 取車,15 分鐘,30 分鐘,租用兩台 Rav4。請備妥所有駕駛的駕照正本與國際駕照，並詳細檢查車況、拍照存證。,Blue Car Rental,"https://www.google.com/maps/place/Blue+Car+Rental+Iceland/@63.9589024,-22.7022913,10.25z/data=!4m14!1m7!3m6!1s0x48d61d66aff7df0d:0xf3747a894416f06e!2sBlue+Lagoon!8m2!3d63.8807176!4d-22.4472964!16zL20vMDdranE2!3m5!1s0x4929fe07f2687a05:0xfc340ff3755e325c!8m2!3d63.9980556!4d-22.6302778!16s%2Fg%2F11bcf10nd9?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
10:00-11:00,提早前往 藍湖溫泉,30 分鐘,1 小時,已預約 11:00 入場。可先在咖啡廳休息或逛紀念品店。,,
11:00-13:00,藍湖溫泉體驗,,2 小時,享受獨特的溫泉體驗，緩解長途飛行的疲憊。,藍湖溫泉,"https://www.google.com/maps/place/Blue+Lagoon/@63.8807504,-22.8392505,9z/data=!4m6!3m5!1s0x48d61d66aff7df0d:0xf3747a894416f06e!8m2!3d63.8807176!4d-22.4472964!16zL20vMDdranE2?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
14:00-16:00,Costco 與 IKEA 採買,1 小時,2 小時,Costco 加油較便宜。採買未來幾天的水、零食與早餐。,Costco,"https://www.google.com/maps/place/Costco+Wholesale+Iceland/@64.0619771,-21.9883529,12.75z/data=!4m14!1m7!3m6!1s0x48d61d66aff7df0d:0xf3747a894416f06e!2sBlue+Lagoon!8m2!3d63.8807176!4d-22.4472964!16zL20vMDdranE2!3m5!1s0x48d60ce62fda2ba1:0x11fbf09ec10531a8!8m2!3d64.0735057!4d-21.9119723!16s%2Fg%2F1hf1txn0p?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
16:00-17:00,開車前往 雷克雅維克市區,1 小時,,開車前往 Airbnb 辦理入住。,,
17:00-18:00,Airbnb 入住,,1 小時,安頓行李，短暫休息。,,"https://www.google.com/maps/place/Berg%C3%BE%C3%B3rugata+35,+101+Reykjav%C3%ADk,+%E5%86%B0%E5%B3%B6/@64.1407837,-21.9322967,14.75z/data=!4m14!1m7!3m6!1s0x48d61d66aff7df0d:0xf3747a894416f06e!2sBlue+Lagoon!8m2!3d63.8807176!4d-22.4472964!16zL20vMDdranE2!3m5!1s0x48d674cb89be2397:0xed041d04576388d6!8m2!3d64.1424308!4d-21.9216788!16s%2Fg%2F11ltc7h54y?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
18:00,市區自由活動及晚餐,,依個人喜好,探索市中心，可步行前市區景點及享用晚餐。,,
,,,,,,
第二天：10 月 12 日（日） - 悠閒探索雷克雅維克市區,,,,,,
時間,行程,建議交通時間,建議停留時間,備註與建議,guideKey,
09:00-10:00,在 Airbnb 享用早餐,,1 小時,自炊早餐，節省開銷且更具彈性。,,
